Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
121,28,1,1,1,Some Random Commen with Id 121
122,28,1,181,3,Some Random Commen with Id 122
123,28,1,7,7,Some Random Commen with Id 123
124,29,9,128,0,Some Random Commen with Id 124
125,30,3,160,7,Some Random Commen with Id 125
126,30,3,91,8,Some Random Commen with Id 126
127,30,3,77,4,Some Random Commen with Id 127
128,30,3,75,8,Some Random Commen with Id 128
129,30,3,132,8,Some Random Commen with Id 129
130,30,3,182,4,Some Random Commen with Id 130
131,30,3,148,8,Some Random Commen with Id 131
132,30,3,161,7,Some Random Commen with Id 132
133,31,5,182,9,Some Random Commen with Id 133
134,31,5,143,2,Some Random Commen with Id 134
135,31,5,191,2,Some Random Commen with Id 135
136,31,5,165,1,Some Random Commen with Id 136
137,31,5,188,6,Some Random Commen with Id 137
138,31,5,108,0,Some Random Commen with Id 138
139,31,5,156,3,Some Random Commen with Id 139
140,31,5,188,8,Some Random Commen with Id 140
141,32,9,3,0,Some Random Commen with Id 141
142,32,9,194,2,Some Random Commen with Id 142
143,32,9,62,4,Some Random Commen with Id 143
144,33,0,125,4,Some Random Commen with Id 144
145,33,0,5,6,Some Random Commen with Id 145
146,33,0,140,1,Some Random Commen with Id 146
147,35,5,52,3,Some Random Commen with Id 147
148,35,5,19,6,Some Random Commen with Id 148
149,35,5,63,5,Some Random Commen with Id 149
150,35,5,106,6,Some Random Commen with Id 150
151,35,5,47,6,Some Random Commen with Id 151
152,35,5,130,1,Some Random Commen with Id 152
153,35,5,45,8,Some Random Commen with Id 153
154,35,5,11,3,Some Random Commen with Id 154
155,35,5,94,7,Some Random Commen with Id 155
156,36,4,76,7,Some Random Commen with Id 156
157,36,4,121,5,Some Random Commen with Id 157
158,36,4,40,5,Some Random Commen with Id 158
159,36,4,20,9,Some Random Commen with Id 159
160,37,4,112,5,Some Random Commen with Id 160
161,38,9,54,8,Some Random Commen with Id 161
162,38,9,133,1,Some Random Commen with Id 162
